0.05 (0.04-0.08)	0.07 (0.05-0.10)
0.27 (0.21-0.34)	0.31 (0.25-0.39)
1.00 (ref)	1.00 (ref)
2.61 (2.29-2.96)	2.09 (1.84-2.38)
7.61 (6.78-8.54)	4.77 (4.23-5.38)
26.27 (23.52-29.33)	12.64 (11.19-14.28)


1.00 (ref)	1.00 (ref)
2.24 (2.12-2.36)	1.99 (1.99-2.10)


1.00 (ref)	1.00 (ref)
1.57 (1.47-1.68)	1.27 (1.18-1.36)
2.01 (1.82-2.21)	1.56 (1.41-1.73)
2.97 (2.62-3.38)	2.27 (1.99-2.58)


1.00 (ref)	1.00 (ref)
1.80 (1.70-1.90)	1.25 (1.18-1.33)
1.25 (1.12-1.40)	0.88 (0.79-0.99)


1.00 (ref)	1.00 (ref)
1.83 (1.33-2.51)	1.64 (1.19-2.26)
1.95 (1.73-2.18)	1.62 (1.43-1.82)
2.17 (1.84-2.57)	1.71 (1.44-2.02)
1.34 (1.03-1.74)	1.33 (1.03-1.73)


1.00 (ref)	1.00 (ref)
1.18 (1.08-1.29)	1.13 (1.04-1.24)
1.35 (1.23-1.47)	1.23 (1.13-1.35)
1.70 (1.56-1.86)	1.49 (1.37-1.63)
2.13 (1.95-2.33)	1.75 (1.60-1.91)


1.00 (ref)	1.00 (ref)
1.22 (1.15-1.30)	0.95 (0.89-1.01)


2.35 (2.21-2.50)	1.78 (1.67-1.90)


1.23 (1.14-1.33)	1.11 (1.02-1.20)
1.70 (1.48-1.96)	1.25 (1.08-1.44)

2.01 (1.90-2.13)	1.27 (1.20-1.35)


2.02 (1.89-2.16)	1.50 (1.40-1.60)
3.61 (3.34-3.90)	2.36 (2.18-2.56)
2.35 (2.04-2.70)	1.87 (1.63-2.16)


1.83 (1.51-2.21)	1.56 (1.29-1.89)
1.39 (1.22-1.58)	1.19 (1.04-1.35)
1.03 (0.94-1.12)	0.97 (0.88-1.06)


4.03 (2.76-5.88)	3.52 (2.41-5.14)
3.59 (2.88-4.48)	3.12 (2.50-3.89)
2.13 (1.76-2.59)	1.88 (1.55-2.29)

2.34 (1.94-2.83)	1.61 (1.33-1.95)

2.34 (2.18-2.51)	1.79 (1.67-1.93)

2.94 (2.62-3.30)	2.46 (2.19-2.76)

2.19 (2.06-2.32)	1.72 (1.62-1.83)

7.79 (5.88-10.33)	4.27 (3.20-5.70)

1.82 (1.21-2.74)	1.41 (0.93-2.12)

1.35 (1.24-1.48)	1.23 (1.12-1.35)

2.02 (1.45-2.81)	1.69 (1.21-2.34)
